bM,l_total,n,bH,emax,b_prime_H,total_error"2026-08-14 17:17:50,495",80,8949.930011877657,66,14,24,47,8.69743077690184e-11
2400000,16956.42286534334,52,35,22,56,7.249531925862826e-11
3200000,16961.42286534334,52,35,22,57,7.319760307770457e-11
4000000,16961.42286534334,52,35,22,57,9.936661516878815e-11
4800000,17429.42286534334,52,36,22,57,7.239717554325139e-11
5600000,17429.42286534334,52,36,22,57,8.833789113071393e-11
6400000,17434.42286534334,52,36,22,58,7.319760307770457e-11
7200000,17434.42286534334,52,36,22,58,8.398014296649013e-11
8000000,17434.42286534334,52,36,22,58,9.931754331109972e-11
16000000,17907.42286534334,52,37,22,59,9.92922857372895e-11
24000000,18375.42286534334,52,38,22,59,9.715251591367427e-11
32000000,18380.42286534334,52,38,22,60,9.927929612790138e-11
40000000,18848.42286534334,52,39,22,60,7.608967543160095e-11
48000000,18848.42286534334,52,39,22,60,9.713916548180315e-11
56000000,18853.42286534334,52,39,22,61,8.092227963790845e-11
64000000,18853.42286534334,52,39,22,61,9.927262091196582e-11
72000000,19149.078200034615,48,43,21,61,9.958244326749968e-11
80000000,19321.42286534334,52,40,22,61,7.60828198044239e-11
160000000,19794.42286534334,52,41,22,62,7.607930178521461e-11
240000000,19799.42286534334,52,41,22,63,8.906900888498842e-11
320000000,20267.42286534334,52,42,22,63,7.60774976727996e-11
400000000,20272.42286534334,52,42,22,64,7.157550733139836e-11
480000000,20272.42286534334,52,42,22,64,8.906900888498842e-11
560000000,20460.078200034615,48,46,21,64,9.886302664826699e-11
640000000,20740.42286534334,52,43,22,64,7.60765730651869e-11
720000000,20740.42286534334,52,43,22,64,8.877084096965814e-11
800000000,20745.42286534334,52,43,22,65,7.157550733139836e-11
1600000000,21218.42286534334,52,44,22,66,7.157550733139836e-11
2400000000,21686.42286534334,52,45,22,66,7.021849996001144e-11
3200000000,21691.42286534334,52,45,22,67,7.157550733139836e-11
4000000000,21691.42286534334,52,45,22,67,9.505934046735745e-11
4800000000,22159.42286534334,52,46,22,67,7.021837592728291e-11
5600000000,22159.42286534334,52,46,22,67,8.546131991783498e-11
6400000000,22164.42286534334,52,46,22,68,7.157550733139836e-11
7200000000,22164.42286534334,52,46,22,68,8.138317465282277e-11
8000000000,22164.42286534334,52,46,22,68,9.505934046735745e-11
16000000000,22637.42286534334,52,47,22,69,9.505934046735745e-11
24000000000,23077.078200034615,48,52,21,69,9.315450390692769e-11
32000000000,23082.078200034615,48,52,21,70,9.651170935011134e-11
40000000000,23514.078200034615,48,53,21,70,9.212232983838641e-11
48000000000,23514.078200034615,48,53,21,70,9.315450390692769e-11
56000000000,23514.078200034615,48,53,21,70,9.875825026287826e-11
64000000000,23519.078200034615,48,53,21,71,9.651170935011134e-11
72000000000,23519.078200034615,48,53,21,71,9.897277305232275e-11
