bM,l_AliceBob,bH,b_prime_H,total,eps_for,eps_rep
40000000,180,60,62,8.673622584054463e-11,6.938893903907228e-11,1.734728680147235e-11
48000000,180,60,63,9.367509372359972e-11,8.326672684688674e-11,1.0408366876712982e-11
56000000,180,60,66,9.866240094878742e-11,9.71445146547012e-11,1.5178862940862237e-12
64000000,183,61,62,8.326677975595276e-11,5.551115123125783e-11,2.775562852469493e-11
72000000,183,61,62,9.36751206118136e-11,6.245004513516506e-11,3.1225075476648545e-11
80000000,183,61,63,8.673620025337336e-11,6.938893903907228e-11,1.734726121430108e-11
160000000,186,62,64,8.67361872429473e-11,6.938893903907228e-11,1.734724820387501e-11
240000000,189,63,64,7.806257007990369e-11,5.204170427930421e-11,2.602086580059948e-11
320000000,189,63,65,8.673618062931404e-11,6.938893903907228e-11,1.7347241590241758e-11
400000000,189,63,66,9.757819893893224e-11,8.673617379884035e-11,1.0842025140091888e-11
480000000,192,64,65,7.806256335785022e-11,5.204170427930421e-11,2.602085907854601e-11
560000000,192,64,65,9.107298942767628e-11,6.071532165918825e-11,3.035766776848803e-11
640000000,192,64,66,8.673617726828731e-11,6.938893903907228e-11,1.7347238229215023e-11
720000000,192,64,66,9.757819899314235e-11,7.806255641895632e-11,1.9515642574186032e-11
800000000,192,64,67,9.757819725841888e-11,8.673617379884035e-11,1.084202345957852e-11
1600000000,195,65,68,9.757819640460966e-11,8.673617379884035e-11,1.084202260576931e-11
2400000000,198,66,67,9.757819731262898e-11,6.505213034913027e-11,3.252606696349872e-11
3200000000,198,66,69,9.75781959709288e-11,8.673617379884035e-11,1.084202217208844e-11
4000000000,201,67,68,8.131516384443215e-11,5.421010862427522e-11,2.710505522015693e-11
4800000000,201,67,68,9.757819643171472e-11,6.505213034913027e-11,3.252606608258445e-11
5600000000,201,67,69,9.48676905464913e-11,7.589415207398531e-11,1.8973538472505987e-11
6400000000,201,67,70,9.757819575070023e-11,8.673617379884035e-11,1.0842021951859874e-11
7200000000,201,67,73,9.910285485712874e-11,9.75781955236954e-11,1.5246593334333443e-12
8000000000,204,68,69,8.131516339719876e-11,5.421010862427522e-11,2.7105054772923534e-11
16000000000,207,69,70,8.131516317019393e-11,5.421010862427522e-11,2.7105054545918704e-11
24000000000,207,69,72,9.147955836190971e-11,8.131516293641283e-11,1.0164395425496877e-11
32000000000,210,70,71,8.131516305499745e-11,5.421010862427522e-11,2.7105054430722223e-11
40000000000,210,70,72,8.470329478472234e-11,6.776263578034403e-11,1.6940659004378313e-11
48000000000,210,70,73,9.147955833311059e-11,8.131516293641283e-11,1.0164395396697757e-11
56000000000,210,70,75,9.783230541528323e-11,9.486769009248164e-11,2.9646153228015895e-12
64000000000,213,71,72,8.131516299655217e-11,5.421010862427522e-11,2.710505437227695e-11
72000000000,213,71,72,9.147955836360378e-11,6.098637220230962e-11,3.049318616129415e-11
80000000000,213,71,73,8.47032947554997e-11,6.776263578034403e-11,1.6940658975155676e-11
