timestamp,id,bM,bH,b_prime_H,forg_prob,rep_prob,t_total,t_QKD_Bob,t_QKD_Charlie,t_signatures_total,t_single_signature,mode
2026-08-26_16-22-49,78032791,80000,51,53,7.105427357601002e-11,1.7786216943704858e-11,4.597339375060983,1.8867802079766989,1.9084449160145596,0.5852020840393379,0.5850682080490515,hwsim
2026-08-26_16-23-05,499963834,80000,51,53,7.105427357601002e-11,1.7786216943704858e-11,4.709831333020702,2.0534939999924973,1.8873435839777812,0.5472289159661159,0.5470637920079753,hwsim
2026-08-26_16-23-49,314696787,800000,55,55,4.440892098500626e-11,4.44150272116417e-11,8.539210332906805,2.030372165958397,1.8976590419188142,2.3371012919815257,2.3369324590312317,hwsim
2026-08-26_16-24-10,580105294,800000,55,55,4.440892098500626e-11,4.44150272116417e-11,8.57513304206077,2.0454042500350624,1.9065432080533355,2.4482916250126436,2.448032582993619,hwsim
2026-08-26_16-24-27,999293374,800000,55,55,4.440892098500626e-11,4.44150272116417e-11,8.653514083009213,1.9049823749810457,2.038913332973607,2.4192151250317693,2.4190500419354066,hwsim
2026-08-26_16-24-46,424405861,800000,55,55,4.440892098500626e-11,4.44150272116417e-11,8.566706749959849,2.0409064589766786,1.898419333039783,2.4184060000116006,2.4182481670286506,hwsim
2026-08-26_16-25-04,726814464,800000,55,55,4.440892098500626e-11,4.44150272116417e-11,8.908602417097427,2.0612518748966977,2.0549087920226157,2.567664165981114,2.5674764580326155,hwsim
2026-08-26_16-25-31,653487793,8000000,58,59,5.551115123125783e-11,2.775597807147534e-11,47.31963362498209,1.8860815420048311,1.9295541249448434,21.253567833919078,21.252996749943122,hwsim
2026-08-26_16-26-32,756842314,8000000,58,59,5.551115123125783e-11,2.775597807147534e-11,48.37427362508606,1.9021539160748944,2.024834042065777,22.213636166998185,22.21191825007554,hwsim
2026-08-26_16-27-30,161722488,8000000,58,59,5.551115123125783e-11,2.775597807147534e-11,48.33059437503107,2.143125082948245,1.9514648340409622,20.943871750030667,20.942940292065032,hwsim
2026-08-26_16-28-48,797244093,8000000,58,59,5.551115123125783e-11,2.775597807147534e-11,47.77694083401002,1.9886132089886814,2.1383369580144063,21.43930550001096,21.435502207954414,hwsim
2026-08-26_16-29-54,702702999,8000000,58,59,5.551115123125783e-11,2.775597807147534e-11,50.70364141697064,2.129105458036065,1.90929966699332,21.95201879204251,21.951158083975315,hwsim
2026-08-26_16-31-57,550987599,80000000,61,63,6.938893903907228e-11,1.734726121430108e-11,788.523632416036,2.1275358750717714,1.9682570829754695,339.41260958404746,339.2710565000307,hwsim
2026-08-26_16-45-35,167533909,80000000,61,63,6.938893903907228e-11,1.734726121430108e-11,684.0401442919392,1.9688790830550715,2.0722300419583917,238.40558229095768,238.38997395895422,hwsim
2026-08-26_16-59-48,300421187,80000000,61,63,6.938893903907228e-11,1.734726121430108e-11,1186.3412409999873,1.8983555829618126,1.9286365839652717,430.84511824999936,430.78733754192945,hwsim
2026-08-26_17-20-58,180428497,80000000,61,63,6.938893903907228e-11,1.734726121430108e-11,1154.7794841669966,1.9008522919612005,2.151051666936837,435.82283429207746,435.7612837080378,hwsim
2026-08-26_19-02-59,419769864,80000000,61,63,6.938893903907228e-11,1.734726121430108e-11,697.1241925000213,2.059643749962561,2.686904125032015,310.0322768749902,309.97817016695626,hwsim
