timestamp,id,bM,bH,t_total,t_QKD,t_key_transfer,t_verifications_total,t_single_verification,mode
2026-08-28_12-42-16,511869348,800,33,7.593302291999862,1.3181163339977502,0.00015025000175228342,0.002015500002016779,0.001997624996874947,hwsim
2026-08-28_12-45-10,953195655,800,33,6.830605415998434,1.3082140000042273,0.00013987500278744847,0.0020327919992269017,0.002027624999755062,hwsim
2026-08-28_16-08-42,754983324,800,33,17.528194250000524,1.381510375009384,0.00014458299847319722,0.002151166001567617,0.0021459580020746216,hwsim
2026-08-28_16-19-19,745642134,800,33,12.00501495799108,1.3290789579914417,0.00014991698844823986,0.002128916996298358,0.0021225419914117083,hwsim
2026-08-28_16-20-19,912274197,800,33,7.561677208999754,1.3057900420099031,0.00014187500346451998,0.002067000008537434,0.002062041006865911,hwsim
2026-08-28_16-31-52,804643636,800,33,7.459322082999279,1.314777249994222,0.00042462500277906656,0.002251583995530382,0.002231958002084866,hwsim
2026-08-28_16-33-09,603375969,800,33,7.734910208004294,1.4067592499923194,0.0002666249929461628,0.00243745899933856,0.0024253750016214326,hwsim
2026-08-28_16-34-37,952574531,800,33,6.784166541998275,1.3097078330029035,0.00016820800374262035,0.0020105419971514493,0.002003375004278496,hwsim
2026-08-28_16-36-05,9809764,800,33,7.561634375000722,1.3161430420004763,0.00015637499745935202,0.0021165409998502582,0.0021103329927427694,hwsim
2026-08-28_16-52-05,205247576,800,33,45.972399207996204,1.3088292079919484,0.0017588750051800162,0.0028899169992655516,0.002870833995984867,hwsim
